Question,Alternative,2023,2024,2024 Animated
Time Efficiency,Very little,14.58,3.08,1.52
Time Efficiency,Little,14.58,10.77,4.55
Time Efficiency,Okay,35.42,16.92,12.12
Time Efficiency,A lot,8.33,9.23,13.64
Time Efficiency,Very much,0.0,3.08,1.52
Learning outcome,Very little,14.58,1.54,3.03
Learning outcome,Little,12.5,9.23,6.06
Learning outcome,Okay,35.42,27.69,16.67
Learning outcome,A lot,10.42,4.62,6.06
Learning outcome,Very much,0.0,0.0,1.52
Engagement,Very little,27.08,9.23,3.03
Engagement,Little,33.33,15.38,9.09
Engagement,Okay,14.58,15.38,15.15
Engagement,A lot,0.0,3.08,3.03
Engagement,Very much,0.0,0.0,3.03